Genus,Species,Season,n,meanFFD,daysperC,R2,F-val,p-val,event,
Eupatorium,dubium,MAJ,21,203,-3.4892,0.26231,6.7559,0.017615,ffd,
Eupatorium,perfoliatum,JJA,21,208.3333,4.5299,0.32363,9.0913,0.0071183,ffd,
Euphorbia,cyparissias,AMJ,21,135.7143,-19.0983,0.53891,22.2064,0.00015163,ffd,
Euphorbia,maculata,AMJ,15,203.9333,-10.9021,0.22335,3.7386,0.075243,ffd,
Fagopyrum,esculentum,MJJ,16,197.125,18.5178,0.15861,2.6392,0.12655,ffd,
Fragaria,virginiana,JFM,20,126.9,-2.8835,0.17967,3.9424,0.062532,ffd,
Galeopsis,tetrahit,ASO,16,208.5,-5.206,0.21925,3.9315,0.067364,ffd,
Galium,aparine,MAJ,6,141.5,-3.4319,0.7452,11.6989,0.026771,ffd,
Galium,asprellum,JAS,20,184.3,-4.3325,0.09741,1.9426,0.18036,ffd,
Galium,circaezans,NDJ-1,18,176.4444,-4.2825,0.17663,3.4323,0.082469,ffd,
Galium,lanceolatum,MJJ,12,179.5,-4.4303,0.12603,1.442,0.25748,ffd,
Galium,trifidum,AMJ,19,162.8421,-6.8309,0.28878,6.9026,0.017654,ffd,
Galium,triflorum,AMJ,21,166.619,-7.7842,0.18911,4.4311,0.048826,ffd,
Gaultheria,procumbens,ASO,21,199.2857,-2.8721,0.12826,2.7956,0.11091,ffd,
Gaylussacia,baccata,MAJ,23,138.3478,-6.9025,0.60143,31.6886,1.379e-05,ffd,
Genista,tinctoria,JAS,14,171.4286,9.1442,0.45261,9.9221,0.008376,ffd,
Gentiana,andrewsii,OND-1,14,246,2.666,0.19134,2.8394,0.11778,ffd,
Gentiana,crinita,AMJ,14,252.0714,-6.7367,0.40463,8.1556,0.014466,ffd,
Geranium,maculatum,MAJ,25,139.2,-2.6503,0.26609,8.3391,0.0083047,ffd,
Geranium,robertianum,MAJ,16,150.25,-5.7326,0.30868,6.251,0.025457,ffd,
Gerardia,paupercula,DJF-1,21,221.4762,-4.1596,0.23839,5.9472,0.024727,ffd,
Gerardia,pedicularia,OND-1,21,225.3333,5.0791,0.18343,4.2679,0.052749,ffd,
Geum,aleppicum,JJA,11,183.2727,-9.8872,0.64468,16.3291,0.0029245,ffd,
Geum,canadense,AMJ,20,187.85,-5.3756,0.22617,5.261,0.034061,ffd,
Geum,rivale,MAJ,18,142.2778,-5.2112,0.60679,24.6912,0.00013931,ffd,
Glechoma,hederacea,OND-1,8,128.125,-12.8582,0.86703,39.1238,0.00077451,ffd,
Gnaphalium,obtusifolium,AMJ,17,217.0588,-7.2863,0.30189,6.4866,0.022336,ffd,
Gnaphalium,uliginosum,MAJ,20,184.45,-8.3469,0.18716,4.1445,0.056762,ffd,
Goodyera,pubescens,AMJ,23,212.5652,-9.2694,0.49004,20.1793,0.00020034,ffd,
Goodyera,tesselata,AMJ,18,208.9444,-6.4036,0.30679,7.0809,0.017082,ffd,
Gratiola,aurea,JAS,22,187.8636,6.8286,0.38818,12.6895,0.0019522,ffd,
Habenaria,blephariglottis,MAJ,18,208.5556,-2.9105,0.12226,2.2286,0.15493,ffd,
Habenaria,clavellata,NDJ-1,9,199.1111,-7.4559,0.50197,7.0553,0.032648,ffd,
Habenaria,dilatata,MAJ,11,153.9091,-8.7762,0.47603,8.1765,0.018797,ffd,
Habenaria,fimbriata,MJJ,19,167.5263,-2.2828,0.13694,2.6974,0.11888,ffd,
Habenaria,flava,AMJ,19,173.1053,-5.1454,0.11849,2.285,0.14899,ffd,
Habenaria,lacera,DJF-1,21,196.4286,-1.6098,0.12175,2.6338,0.12109,ffd,
Habenaria,orbiculata,MAJ,13,176.6154,-7.9947,0.49057,10.5929,0.0076711,ffd,
Habenaria,psycodes,MJJ,20,201.8,-3.6119,0.25785,6.2539,0.022272,ffd,
Hamamelis,virginiana,JFM,14,261,-2.7836,0.065865,0.8461,0.37578,ffd,
Hedeoma,pulegioides,DJF-1,19,210.5789,-2.2931,0.20361,4.3463,0.052482,ffd,
Helianthemum,canadense,MAJ,19,155.1053,-6.0576,0.22862,5.0385,0.038386,ffd,
Hemerocallis,fulva,AMJ,9,186,-13.3884,0.48479,6.5866,0.037201,ffd,
Hibiscus,moscheutos,MJJ,19,226.3684,-5.4388,0.44417,13.5852,0.0018335,ffd,
Hieracium,canadense,AMJ,19,216.7895,-10.0961,0.5487,20.6685,0.00028603,ffd,
Hieracium,paniculatum,JFM,20,210.2,3.5956,0.099782,1.9951,0.17486,ffd,
Hieracium,scabrum,MAJ,20,215.6,-7.6952,0.36019,10.1332,0.0051484,ffd,
Hieracium,venosum,JJA,23,165.5652,3.137,0.15583,3.8766,0.062302,ffd,
Houstonia,caerulea,DJF-1,26,110.4615,-4.687,0.61502,38.3414,2.1289e-06,ffd,
Hypericum,canadense,AMJ,21,184.4762,-6.1823,0.18254,4.2428,0.053384,ffd,
Hypericum,ellipticum,OND-1,22,190.0909,-4.8007,0.11532,2.6071,0.12205,ffd,
Hypericum,gentianoides,MAJ,19,198.5789,-7.0124,0.35708,9.4418,0.0068955,ffd,
Hypericum,mutilum,JJA,6,201.6667,4.502,0.29095,1.6414,0.26937,ffd,
Hypericum,perforatum,AMJ,22,172.5455,-3.9319,0.32298,9.541,0.0057893,ffd,
Hypericum,punctatum,NDJ-1,22,192.0909,-3.6712,0.12176,2.7729,0.11146,ffd,
Hypericum,virginicum,AMJ,21,214.4286,-4.4504,0.099993,2.1109,0.16257,ffd,
Hypoxis,hirsuta,MAJ,25,147.32,-2.6254,0.2371,7.1481,0.013567,ffd,
Ilex,verticillata,JJA,21,169.8571,-11.0368,0.30601,8.3777,0.0092917,ffd,
Impatiens,capensis,AMJ,22,185.7727,-11.8586,0.50198,20.1593,0.00022397,ffd,
Inula,helenium,MAJ,18,205.7222,-4.9403,0.25529,5.4849,0.032446,ffd,
Ipomoea,purpurea,FMA,5,218,8.1169,0.4161,2.1379,0.23987,ffd,
Iris,prismatica,JJA,22,163.8636,1.9254,0.055141,1.1672,0.29284,ffd,
Iris,pseudacorus,FMA,18,161.4444,-2.4634,0.11322,2.0429,0.17215,ffd,
Iris,versicolor,AMJ,24,155.2917,-3.4987,0.19154,5.2124,0.032448,ffd,
Kalmia,angustifolia,MAJ,24,154.9167,-4.4429,0.32726,10.7021,0.0034908,ffd,
Kalmia,latifolia,MJJ,23,166.6957,-5.0718,0.39902,13.9432,0.0012249,ffd,
Kalmia,polifolia,MAJ,18,132.6111,-3.4781,0.62614,26.7965,9.183e-05,ffd,
Krigia,virginica,NDJ-1,23,145.2609,-4.5893,0.37131,12.4027,0.0020257,ffd,
Lactuca,biennis,MAJ,19,207.1053,-7.3466,0.20284,4.3258,0.052982,ffd,
Lactuca,canadensis,AMJ,20,180.25,-7.7994,0.38912,11.4659,0.003291,ffd,
Lamium,amplexicaule,NDJ-1,5,125.8,-7.4585,0.93358,42.1657,0.0074155,ffd,
Lechea,intermedia,JJA,15,212.4667,3.9753,0.13485,2.0263,0.17815,ffd,
Lechea,tenuifolia,JJA,15,208.5333,9.6198,0.27703,4.9814,0.043847,ffd,
Lechea,villosa,JJA,16,207.4375,8,0.32294,6.6775,0.021637,ffd,
Ledum,groenlandicum,MAJ,17,139.0588,-4.1681,0.64279,26.9917,0.00010872,ffd,
Leontodon,autumnalis,JAS,22,171.6364,9.7119,0.39944,13.3024,0.0016024,ffd,
Leonurus,cardiaca,AMJ,21,173.2381,-4.7674,0.31117,8.5831,0.0085983,ffd,
Lepidium,campestre,MAJ,9,136.4444,-8.2443,0.81401,30.6363,0.00087361,ffd,
Lepidium,virginicum,MAJ,20,152.85,-8.2691,0.37604,10.8479,0.0040378,ffd,
Lespedeza,capitata,AMJ,18,208,-5.2352,0.21499,4.3819,0.05261,ffd,
Lespedeza,hirta,MAJ,17,211.7647,-6.8977,0.2908,6.1507,0.025489,ffd,
Lespedeza,intermedia,AMJ,15,216.2,-12.9494,0.33886,6.6631,0.022801,ffd,
Lespedeza,virginica,JAS,16,223.3125,-2.6897,0.069096,1.0391,0.32531,ffd,
Leucothoe,racemosa,DJF-1,8,163,5.8012,0.47137,5.3501,0.06002,ffd,
Liatris,borealis,MJJ,15,231.1333,-4.4694,0.12498,1.8568,0.19614,ffd,
Lilium,canadense,JAS,18,188.5,4.2164,0.32563,7.726,0.013394,ffd,
Lilium,philadelphicum,AMJ,19,186.7368,-4.4984,0.23967,5.3586,0.03338,ffd,
Lilium,tigrinum,JFM,9,202.8889,-6.2912,0.39327,4.5372,0.070662,ffd,
Linaria,canadensis,JFM,23,154.9565,-2.9253,0.22656,6.1516,0.021683,ffd,
Linaria,vulgaris,MJJ,22,177.1818,-6.1809,0.10485,2.3426,0.14154,ffd,
Lindera,benzoin,JFM,24,113,-4.3605,0.59331,32.0947,1.0701e-05,ffd,
Linnaea,borealis,MAJ,18,156.1667,-2.755,0.31396,7.3222,0.015581,ffd,
Lobelia,cardinalis,JFM,20,205.55,-2.8102,0.20505,4.6428,0.044976,ffd,
Lobelia,inflata,MAJ,21,198.5238,-3.9123,0.35773,10.5825,0.0041847,ffd,
Lobelia,spicata,AMJ,18,180.8889,-4.7349,0.18019,3.5167,0.079125,ffd,
Lonicera,sempervirens,AMJ,6,162.1667,-6.8749,0.24957,1.3302,0.31299,ffd,
Ludwigia,alternifolia,JJA,7,210.2857,11.3458,0.44232,3.9657,0.10306,ffd,
Ludwigia,palustris,NDJ-1,17,213.7059,6.8351,0.19057,3.5315,0.079783,ffd,
Lupinus,perennis,MAJ,22,143.6364,-8.3324,0.48016,18.4734,0.00035044,ffd,
Lycopus,americanus,JFM,21,203.3333,2.1666,0.10373,2.1989,0.15451,ffd,
Lycopus,virginicus,NDJ-1,20,201.7,-3.545,0.29049,7.3696,0.014201,ffd,
Lyonia,ligustrina,OND-1,22,171.8636,1.9544,0.12907,2.9639,0.10058,ffd,
Lysimachia,ciliata,FMA,7,198.7143,-5.6065,0.662,9.7928,0.025977,ffd,
Lysimachia,hybrida,JJA,20,191.85,2.774,0.18687,4.1366,0.056975,ffd,
Lysimachia,nummularia,AMJ,15,174.6,-3.8544,0.29524,5.446,0.036314,ffd,
Lysimachia,quadrifolia,AMJ,23,166,-3.0349,0.14622,3.5964,0.071746,ffd,
Lysimachia,terrestris,MAJ,22,176.5909,-4.0853,0.43843,15.6142,0.00078802,ffd,
Lysimachia,thyrsiflora,JJA,12,167.6667,1.1756,0.31191,4.5329,0.059115,ffd,
Lythrum,salicaria,FMA,12,192.0833,-8.0586,0.18969,2.341,0.15701,ffd,
Maianthemum,canadense,MAJ,23,137.4348,-3.8424,0.5658,27.3653,3.4793e-05,ffd,
Malus,malus,MAJ,22,130.3182,-5.4082,0.69357,45.2678,1.515e-06,ffd,
Malva,sylvestris,AMJ,8,181.125,-16.9001,0.87594,42.3652,0.00062665,ffd,
Medeola,virginiana,JJA,20,155.8,2.7694,0.15363,3.2674,0.087413,ffd,
Megalodonta,beckii,NDJ-1,17,228.7059,-3.4589,0.11235,1.8986,0.18844,ffd,
Melampyrum,lineare,JFM,20,168.3,-2.1379,0.26323,6.4308,0.0207,ffd,
Melilotus,alba,AMJ,17,191.5882,-7.6502,0.23095,4.5046,0.050861,ffd,
Mentha,arvensis,DJF-1,21,201.3333,-1.7433,0.082872,1.7168,0.20572,ffd,
Mentha,piperita,ASO,17,217.2353,5.7268,0.24017,4.7413,0.045823,ffd,
Mentha,spicata,DJF-1,13,217.6154,7.5122,0.49851,10.9348,0.0069934,ffd,
Menyanthes,trifoliata,MAJ,18,139.3333,-5.3462,0.35785,8.9164,0.0087302,ffd,
Mikania,scandens,MAJ,5,217.4,-12.4267,0.77299,10.2154,0.049477,ffd,
Mimulus,ringens,JJA,21,205.619,6.0444,0.5008,19.0606,0.00033259,ffd,
Mitchella,repens,DJF-1,21,167.4762,-3.0045,0.39706,12.5124,0.0022009,ffd,
Mollugo,verticillata,AMJ,20,155.45,-12.3423,0.24174,5.7385,0.02768,ffd,
Monarda,didyma,ASO,13,204.7692,-6.8883,0.19077,2.5931,0.13563,ffd,
Monarda,fistulosa,AMJ,16,199,-5.0218,0.18905,3.2638,0.092361,ffd,
Moneses,uniflora,MAJ,15,163.7333,-6.1912,0.55568,16.2579,0.0014234,ffd,
Monotropa,hypopithys,FMA,21,209.8571,-5.1541,0.30098,8.1809,0.010016,ffd,
Monotropa,uniflora,JAS,24,194.0833,-5.4724,0.19715,5.4024,0.029738,ffd,
Morella,pensylvanica,DJF-1,17,153.7059,-8.8135,0.21326,4.0661,0.062022,ffd,
Myosotis,arvensis,JFM,12,127.0833,-3.3007,0.54246,11.8559,0.0062971,ffd,
Myosotis,laxa,JFM,18,149.4444,-2.6205,0.25725,5.5415,0.031681,ffd,
Myosotis,scorpioides,NDJ-1,16,170.4375,11.7544,0.26112,4.9477,0.043086,ffd,
Myosotis,verna,MAJ,19,142.2632,-5.8205,0.29448,7.0956,0.016366,ffd,
Myrica,gale,MJJ,21,110.6667,4.9607,0.10154,2.1473,0.15918,ffd,
Nasturtium,officinale,MAJ,15,145.0667,-4.3435,0.46881,11.4733,0.0048602,ffd,
Nemopanthes,mucronata,JFM,20,135.7,-3.652,0.30064,7.7377,0.012311,ffd,
Nepeta,cataria,MJJ,19,181.5789,-5.7855,0.25652,5.8656,0.026907,ffd,
Nuphar,microphyllum,ASO,18,174.8333,-12.2317,0.45867,13.5566,0.0020179,ffd,
Nuphar,variegata,JFM,8,141,-6.19,0.27433,2.2682,0.18277,ffd,
Nymphoides,cordata,MJJ,18,176.8889,-6.3178,0.23364,4.878,0.042136,ffd,
